league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Serie A,US Lecce,19/20,summer,Luca Rossettini,CB,starter,2.0,replaces_sold,€500k,€500k,Genoa CFC,False,,1,4.218,4.777,,-0.359,0.0,-0.2
Serie A,US Lecce,19/20,summer,Cristian Dell'Orco,CB,rotation,1.0,replaces_sold|rotation_option,€250k,€1.0m,US Sassuolo,False,,1,7.496,4.789,,1.231,0.5,0.975
Serie A,US Lecce,19/20,summer,Biagio Meccariello,CB,rotation,1.0,replaces_sold|rotation_option,€100k,€600k,Brescia Calcio (- 2025),False,,1,6.626,3.64,,1.111,0.5,1.375
Serie A,US Lecce,19/20,summer,Yevgen Shakhov,MID,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,1091,False,,1,8.104,6.104,,,0.588,1.412
Serie A,US Lecce,19/20,summer,Andrea Rispoli,RB,rotation,1.0,replaces_sold|rotation_option,€0,€1.0m,458,False,,1,9.481,6.5,,1.281,0.5,1.2
Serie A,US Lecce,19/20,summer,Gabriel,GK,rotation,1.0,replaces_sold|rotation_option,€0,€1.0m,839,True,€0,1,7.4,6.0,0.0,1.0,0.0,0.4
Serie A,US Lecce,19/20,summer,Simone Lo Faso,CF,starter,2.0,replaces_sold,€0,€500k,458,False,,1,0.0,0.0,,,0.588,-0.588
Serie A,US Lecce,19/20,summer,Antonino Gallo,LB,starter,2.0,replaces_sold,€0,€200k,458,False,,5,6.745,4.503,,-0.058,0.5,1.8
Serie A,US Lecce,19/20,winter,Giulio Donati,RB,starter,2.0,replaces_sold,,€1.5m,515,False,,1,3.495,3.917,,0.069,,-0.491
Serie A,US Lecce,22/23,summer,Daniel Samek,MID,starter,2.0,replaces_sold|significant_outlay,€2.0m,€2.0m,62,True,€300k,2,0.0,0.0,-1.259,,-0.278,-0.12
Serie A,US Lecce,22/23,summer,Lameck Banda,W,starter,2.0,replaces_sold|significant_outlay,€2.0m,€300k,3785,False,,4,4.257,2.832,,-0.324,-0.5,2.25
Serie A,US Lecce,22/23,summer,Federico Di Francesco,W,starter,2.0,replaces_sold|significant_outlay,€800k,€2.0m,SPAL,True,€1.3m,1,4.636,3.971,0.833,-0.153,0.019,-0.033
Serie A,US Lecce,22/23,summer,Samuel Umtiti,CB,starter,2.0,replaces_sold,€500k,€2.0m,FC Barcelona,False,,1,5.964,4.468,,-0.005,0.5,1.0
Serie A,US Lecce,22/23,summer,Kristijan Bistrovic,MID,starter,2.0,replaces_sold,€300k,€2.2m,2410,False,,1,1.189,0.969,,-0.417,0.5,0.136
Serie A,US Lecce,22/23,summer,Federico Baschirotto,CB,starter,2.0,replaces_sold,€280k,€450k,408,True,€3.0m,3,9.768,6.0,3.0,-0.052,0.111,0.708
Serie A,US Lecce,22/23,summer,Assan Ceesay,CF,rotation,1.0,replaces_sold|rotation_option,€0,€2.7m,260,True,€2.5m,1,9.501,6.0,1.852,0.936,0.25,0.463
Serie A,US Lecce,22/23,summer,Joel Voelkerling Persson,CF,starter,2.0,replaces_sold,€0,€600k,11997,True,,3,0.279,0.075,,-0.305,0.625,-0.116
Serie A,US Lecce,22/23,summer,Federico Brancolini,GK,starter,2.0,replaces_sold,€0,€200k,ACF Fiorentina,True,€0,2,0.0,0.0,-1.481,,0.0,0.0
Serie A,US Lecce,22/23,summer,Jasper Samooja,GK,starter,2.0,replaces_sold,,€75k,23075,False,,4,0.0,0.0,,,,0.0
Serie A,US Lecce,22/23,summer,Joan González,MID,starter,2.0,replaces_sold,,€250k,5618,True,,3,3.632,3.023,,-0.279,,0.889
Serie A,US Lecce,22/23,summer,Alexandru Borbei,GK,starter,2.0,replaces_sold,,€150k,5618,False,,2,0.0,0.0,,,,-0.208
Serie A,US Lecce,22/23,summer,Mats Lemmens,CB,starter,2.0,replaces_sold,,€100k,5618,True,€0,2,0.0,0.0,-1.481,,-0.556,0.093
Serie A,US Lecce,22/23,summer,Medon Berisha,MID,starter,2.0,replaces_sold,,€75k,5618,False,,4,3.287,1.0,,0.018,,2.27
Serie A,US Lecce,22/23,winter,Youssef Maleh,MID,starter,2.0,replaces_sold,€500k,€4.5m,ACF Fiorentina,False,,3,0.93,0.795,,-0.365,0.5,0.0
Serie A,US Lecce,22/23,winter,Tommaso Cassandro,CB,starter,2.0,replaces_sold,€250k,€900k,4084,True,€350k,1,0.586,0.025,0.533,0.027,0.0,0.0
Serie A,US Lecce,22/23,winter,Simone Romagnoli,CB,starter,2.0,replaces_sold,,€750k,Parma Calcio 1913,True,€100k,1,0.0,0.318,-1.156,-0.193,-0.5,0.0
Serie A,US Lecce,22/23,winter,Eetu Mömmö,W,starter,2.0,replaces_sold,,€200k,5618,True,,1,0.0,0.0,,,,
Serie A,US Lecce,23/24,summer,Nikola Krstović,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€8.2m,€2.2m,4529,True,€25.0m,2,8.015,5.32,2.0,0.133,0.0,0.562
Serie A,US Lecce,23/24,summer,Youssef Maleh,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.0m,€4.5m,ACF Fiorentina,False,,2,0.013,0.485,,-0.286,-0.185,0.0
Serie A,US Lecce,23/24,summer,Wladimiro Falcone,GK,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€4.0m,€5.0m,UC Sampdoria,False,,3,9.527,6.5,,1.494,0.333,1.2
Serie A,US Lecce,23/24,summer,Mohamed Kaba,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€3.0m,€3.0m,1423,False,,3,1.293,1.724,,-0.348,0.0,-0.083
Serie A,US Lecce,23/24,summer,Marin Pongracic,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.6m,€4.0m,VfL Wolfsburg,True,€15.0m,1,9.261,6.0,2.5,0.011,0.5,0.25
