league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Serie A,Genoa CFC,24/25,summer,Alessandro Zanoli,RB,starter,2.0,improves_problem|replaces_sold,€500k,€5.0m,SSC Napoli,False,,1,4.125,3.626,,-0.201,0.5,0.2
Serie A,Genoa CFC,24/25,summer,Lior Kassa,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€60k,€250k,1064,False,,1,3.353,0.559,,,0.588,2.206
Serie A,Genoa CFC,24/25,summer,Gastón Pereiro,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€1.0m,515,True,,1,0.0,0.075,,-0.392,,-0.222
Serie A,Genoa CFC,24/25,summer,Honest Ahanor,CB,rotation,1.0,replaces_sold|rotation_option,,€1.0m,8517,True,€16.0m,1,6.136,1.184,3.0,0.827,0.5,0.625
Serie A,Genoa CFC,24/25,summer,Christos Papadopoulos,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€800k,8517,True,€0,1,0.0,0.0,-1.481,,-0.556,-0.046
Serie A,Genoa CFC,24/25,summer,Jeff Ekhator,CF,starter,2.0,improves_problem|replaces_sold,,€800k,8517,False,,2,3.774,1.893,,-0.29,,2.171
Serie A,Genoa CFC,24/25,summer,Mario Balotelli,CF,starter,2.0,improves_problem|replaces_sold,,€500k,515,True,,1,0.0,0.146,,-0.456,,0.0
Serie A,Genoa CFC,24/25,winter,Mikael Egill Ellertsson,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€3.5m,€2.8m,Venezia FC,False,,1,7.731,6.877,,,-0.49,1.345
Serie A,Genoa CFC,24/25,winter,Sebastian Otoa,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€2.8m,€600k,1053,False,,2,3.774,2.399,,0.374,-0.5,1.5
Serie A,Genoa CFC,24/25,winter,Jean Onana,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€275k,€3.0m,114,False,,2,0.0,0.359,,-0.514,0.5,-0.533
Serie A,Genoa CFC,24/25,winter,Benjamin Siegrist,GK,rotation,1.0,replaces_sold|rotation_option,€73k,€650k,455,False,,2,3.575,0.363,,1.5,0.5,1.212
Serie A,Genoa CFC,24/25,winter,Hugo Cuenca,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€100k,41107,False,,2,2.353,0.0,,,0.588,1.765
Serie A,Genoa CFC,24/25,winter,Gastón Pereiro,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€1.0m,515,True,,1,0.0,0.075,,-0.392,,-0.222
Serie A,Genoa CFC,24/25,winter,Mario Balotelli,CF,starter,2.0,improves_problem|replaces_sold,,€500k,515,True,,1,0.0,0.146,,-0.456,,0.0
Serie A,Genoa CFC,25/26,summer,Jean Onana,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€500k,€1.8m,114,False,,1,0.0,0.089,,-0.496,0.5,-0.444
Serie A,Genoa CFC,25/26,summer,Nicolae Stanciu,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€3.5m,50532,True,€0,1,0.0,0.373,-1.404,-0.296,0.0,
Serie A,Genoa CFC,25/26,winter,Amorim,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€7.5m,€2.5m,FC Alverca,False,,1,2.553,1.376,,,-0.588,1.765
Serie A,Genoa CFC,25/26,winter,Leo Østigård,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.5m,€10.0m,Stade Rennais FC,False,,1,6.852,5.539,,0.513,0.5,0.3
Serie A,Genoa CFC,25/26,winter,Justin Bijlow,GK,rotation,1.0,replaces_sold|rotation_option,€200k,€4.0m,Feyenoord Rotterdam,False,,1,9.907,6.5,,1.407,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Figueiredo,W,starter,2.0,replaces_sold|significant_outlay,€750k,€1.4m,978,False,,1,6.712,4.454,,0.258,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Steven Baseya,CB,starter,2.0,replaces_sold|significant_outlay,€400k,€400k,RC Strasbourg Alsace,False,,1,1.188,1.213,,-0.025,0.0,0.0
Liga Portugal,FC Alverca,25/26,summer,Amorim,MID,starter,2.0,replaces_sold|significant_outlay,€310k,€50k,17955,True,€7.5m,1,7.718,4.188,3.529,,0.0,
Liga Portugal,FC Alverca,25/26,summer,Lincoln,MID,rotation,1.0,replaces_sold|rotation_option,€0,€3.5m,36,False,,1,10.0,6.5,,1.5,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Chiquinho,W,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,Wolverhampton Wanderers,False,,1,10.0,6.5,,1.5,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Stéphane Diarra,W,rotation,1.0,replaces_sold|rotation_option,€0,€800k,FC Lorient,False,,1,2.408,0.09,,1.068,0.5,0.75
Liga Portugal,FC Alverca,25/26,summer,Sergi Gómez,CB,rotation,1.0,replaces_sold|rotation_option,€0,€600k,RCD Espanyol Barcelona,False,,1,8.864,6.5,,1.115,0.5,0.75
Liga Portugal,FC Alverca,25/26,summer,Cédric Nuozzi,W,starter,2.0,replaces_sold,€0,€350k,46736,False,,1,3.517,2.058,,-0.327,0.5,1.286
Liga Portugal,FC Alverca,25/26,summer,Nabil Touaizi,W,starter,2.0,replaces_sold,€0,€200k,1532,False,,1,8.353,6.5,,-0.147,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Armando Jr,CF,starter,2.0,replaces_sold,€0,€200k,EA Guingamp,False,,1,0.714,0.0,,,0.714,
Liga Portugal,FC Alverca,25/26,summer,Isaac James,LB,starter,2.0,replaces_sold,€0,€150k,FC Lorient,False,,1,5.179,3.08,,0.099,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Davy Gui,MID,starter,2.0,replaces_sold,€0,€150k,Dijon FCO,False,,1,3.208,1.402,,-0.194,0.5,1.5
Liga Portugal,FC Alverca,25/26,summer,Mateus,GK,starter,2.0,replaces_sold,€0,€100k,1023,False,,1,0.588,0.0,,,0.588,0.0
Liga Portugal,FC Alverca,25/26,summer,André Paulo,GK,rotation,1.0,replaces_sold|rotation_option,€0,,7189,False,,1,0.0,0.0,,,,
Liga Portugal,FC Alverca,25/26,summer,Tiago Leite,CF,starter,2.0,replaces_sold,€0,,3326,True,,1,0.0,0.383,,-0.474,,
Liga Portugal,FC Alverca,25/26,summer,Bastien Meupiyou,CB,starter,2.0,replaces_sold,,€2.5m,24226,False,,1,7.569,6.507,,-0.516,,1.579
Liga Portugal,FC Alverca,25/26,summer,Léo Chú,W,starter,2.0,replaces_sold,,€2.0m,8816,False,,1,0.0,0.0,,,,
Liga Portugal,FC Alverca,25/26,summer,Gian Cabezas,MID,starter,2.0,replaces_sold,,€350k,9961,False,,1,0.0,0.106,,-0.579,,
Liga Portugal,FC Alverca,25/26,summer,Matheus Mendes,GK,starter,2.0,replaces_sold,,€300k,330,False,,1,3.231,2.012,,0.166,,1.053
Liga Portugal,FC Alverca,25/26,summer,Julián Martínez,CB,starter,2.0,replaces_sold,,€300k,2720,False,,1,2.792,1.959,,,,0.833
Liga Portugal,FC Alverca,25/26,summer,Sabit Abdulai,MID,starter,2.0,replaces_sold,,€200k,9030,False,,1,3.945,2.917,,-0.551,,1.579
Liga Portugal,FC Alverca,25/26,summer,Sandro Lima,CF,starter,2.0,replaces_sold,,€150k,15172,False,,1,3.287,3.543,,-0.256,,0.0
Liga Portugal,FC Alverca,25/26,winter,Diogo Spencer,RB,starter,2.0,replaces_sold,,€900k,10330,False,,1,0.378,0.579,,-0.201,,0.0
Liga Portugal,FC Alverca,25/26,winter,Vasco Moreira,MID,starter,2.0,replaces_sold,,€850k,1701,False,,1,1.166,1.073,,-0.093,,0.186
LaLiga,Cádiz CF,20/21,summer,Álvaro Giménez,CF,starter,2.0,replaces_sold|significant_outlay,€2.7m,€800k,337,True,,2,0.0,0.51,,-0.446,-0.625,0.13
LaLiga,Cádiz CF,20/21,summer,Choco Lozano,CF,starter,2.0,replaces_sold|significant_outlay,€2.5m,€1.0m,Girona FC,True,€0,3,1.433,3.015,-1.333,-0.216,-0.5,0.467
LaLiga,Cádiz CF,20/21,summer,Iván Alejo,RB,starter,2.0,replaces_sold|significant_outlay,€2.0m,€950k,Getafe CF,False,,4,2.107,2.575,,-0.311,-0.5,0.342
LaLiga,Cádiz CF,20/21,summer,Jorge Pombo,MID,starter,2.0,replaces_sold|significant_outlay,€1.2m,€700k,142,True,€0,1,0.0,1.012,-1.333,-0.172,-0.5,0.143
LaLiga,Cádiz CF,20/21,summer,Filip Malbasic,W,starter,2.0,replaces_sold|significant_outlay,€1.0m,€650k,648,True,,1,1.357,2.071,,-0.441,-0.625,0.353
LaLiga,Cádiz CF,20/21,summer,Conan Ledesma,GK,starter,2.0,replaces_sold|significant_outlay,€500k,€1.1m,1418,False,,4,10.0,7.495,,,0.588,1.985
LaLiga,Cádiz CF,20/21,summer,Jairo Izquierdo,LB,starter,2.0,replaces_sold,€200k,€650k,Girona FC,False,,1,3.006,2.676,,-0.4,0.5,0.231
LaLiga,Cádiz CF,20/21,summer,Álvaro Negredo,CF,rotation,1.0,replaces_sold|rotation_option,€0,€1.6m,5432,True,€0,4,5.098,3.879,0.0,0.906,0.0,0.312
LaLiga,Cádiz CF,20/21,summer,Jens Jönsson,MID,rotation,1.0,replaces_sold|rotation_option,€0,€1.5m,2293,True,€0,2,7.117,6.562,0.0,,0.0,0.556
LaLiga,Cádiz CF,20/21,summer,Pedro Alcalá,CB,rotation,1.0,replaces_sold|rotation_option,€0,€650k,Girona FC,True,€0,1,5.209,3.982,0.0,0.765,0.0,0.462
LaLiga,Cádiz CF,20/21,summer,Nano Mesa,CF,rotation,1.0,replaces_sold|rotation_option,€0,€475k,SD Eibar,True,,1,1.671,0.044,,0.378,0.625,0.625
LaLiga,Cádiz CF,20/21,summer,Gaspar Panadero,W,starter,2.0,replaces_sold,€0,€400k,161,True,€0,1,0.0,0.0,-1.569,,0.0,
LaLiga,Cádiz CF,20/21,summer,Dani Sotres,GK,rotation,1.0,replaces_sold|rotation_option,€0,€250k,42039,True,€0,1,0.0,0.0,0.0,,0.0,
LaLiga,Cádiz CF,20/21,summer,David Mayoral,W,starter,2.0,replaces_sold,€0,€250k,34148,True,,1,0.769,0.0,,,0.769,
LaLiga,Cádiz CF,20/21,summer,Sergio González,CB,starter,2.0,replaces_sold,,€300k,11669,True,€0,1,0.0,0.175,-1.333,-0.525,-0.5,0.222
LaLiga,Cádiz CF,21/22,summer,Santiago Arzamendia,LB,starter,2.0,improves_problem|replaces_sold|significant_outlay,€2.1m,€5.0m,1214,False,,2,0.184,0.99,,-0.606,0.5,-0.7
LaLiga,Cádiz CF,21/22,summer,Tomás Alarcón,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.0m,€1.5m,11470,False,,2,1.38,1.738,,-0.358,-0.5,0.5
LaLiga,Cádiz CF,21/22,summer,Conan Ledesma,GK,starter,2.0,improves_problem|replaces_sold|significant_outlay,€1.8m,€5.0m,1418,False,,3,8.51,7.608,,,0.588,0.314
LaLiga,Cádiz CF,21/22,summer,Varazdat Haroyan,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€900k,22220,True,€0,1,1.486,2.803,-1.333,-0.095,0.0,0.111
LaLiga,Cádiz CF,21/22,summer,Álvaro Jiménez,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€400k,1532,False,,1,1.169,0.481,,-0.312,0.5,0.5
LaLiga,Cádiz CF,21/22,summer,Martín Calderón,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€300k,6767,False,,2,0.382,0.117,,-0.402,0.5,0.167
LaLiga,Cádiz CF,21/22,summer,Rubén Sobrino,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€1.5m,Valencia CF,False,,3,4.249,4.438,,-0.4,,0.211
LaLiga,Cádiz CF,21/22,summer,Milutin Osmajic,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€175k,3070,True,€2.5m,1,4.033,0.489,3.0,-0.373,0.417,0.5
LaLiga,Cádiz CF,21/22,winter,Lucas Pérez,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,€200k,€2.5m,Elche CF,True,€1.0m,2,3.961,1.654,2.5,-0.079,0.0,-0.113
LaLiga,Cádiz CF,21/22,winter,Luis Hernández,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€250k,119,False,,3,5.505,3.636,,0.036,0.5,1.333
LaLiga,Cádiz CF,22/23,summer,Théo Bongonda,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€3.0m,€7.0m,1184,True,€7.5m,1,6.109,3.803,2.0,-0.051,0.5,-0.143
LaLiga,Cádiz CF,22/23,summer,Brian Ocampo,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.9m,€2.0m,866,False,,2,0.852,1.44,,-0.397,0.083,-0.275
LaLiga,Cádiz CF,22/23,summer,Rubén Alcaraz,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.0m,€2.5m,Real Valladolid CF,False,,2,5.506,5.413,,-0.107,0.5,-0.3
LaLiga,Cádiz CF,22/23,summer,Víctor Chust,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.0m,€2.5m,Real Madrid,False,,2,3.204,2.994,,-0.191,0.5,-0.1
LaLiga,Cádiz CF,22/23,summer,Joseba Zaldua,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€4.0m,Real Sociedad,False,,2,0.974,1.425,,-0.376,0.5,-0.575
LaLiga,Cádiz CF,22/23,summer,Awer Mabil,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€1.8m,865,True,€0,1,0.0,0.318,-1.333,-0.381,0.0,-0.111
LaLiga,Cádiz CF,22/23,summer,Fede San Emeterio,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€1.5m,Real Valladolid CF,False,,2,2.359,2.122,,-0.43,0.5,0.167
LaLiga,Cádiz CF,22/23,summer,Iván Chapela,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€600k,11669,True,,1,0.0,0.0,,,,
LaLiga,Cádiz CF,22/23,summer,Raúl Parra,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€300k,11669,True,,1,0.479,0.811,,-0.332,,0.0
LaLiga,Cádiz CF,22/23,summer,Momo Mbaye,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€150k,11669,False,,2,3.248,1.373,,,,1.875
LaLiga,Cádiz CF,22/23,summer,Juan Flere,GK,starter,2.0,replaces_sold,,€100k,11669,True,€0,1,0.0,0.0,-1.569,,-0.588,
LaLiga,Cádiz CF,22/23,winter,Roger Martí,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.0m,€2.5m,Elche CF,False,,2,1.804,2.121,,-0.29,0.333,-0.36
LaLiga,Cádiz CF,22/23,winter,Chris Ramos,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.5m,€1.0m,11000,False,,2,3.867,3.508,,-0.14,-0.5,1.0
LaLiga,Cádiz CF,22/23,winter,Youba Diarra,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.1m,€1.0m,409,True,,1,0.0,0.229,,-0.536,-0.208,-0.042
LaLiga,Cádiz CF,23/24,summer,Rominigue Kouamé,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.5m,€4.5m,ESTAC Troyes,False,,1,1.455,1.757,,-0.246,0.5,-0.556
LaLiga,Cádiz CF,23/24,summer,Gonzalo Escalante,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.5m,€2.0m,SS Lazio,False,,1,2.388,3.571,,-0.516,-0.417,-0.25
LaLiga,Cádiz CF,23/24,summer,Sergi Guardiola,CF,starter,2.0,improves_problem|replaces_sold|significant_outlay,€1.0m,€2.0m,Real Valladolid CF,False,,1,0.475,0.982,,-0.406,0.5,-0.6
LaLiga,Cádiz CF,23/24,summer,José Antonio de la Rosa,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€300k,11669,False,,1,0.0,0.0,,,,0.0
LaLiga,Cádiz CF,23/24,summer,Francisco Mwepu,CF,starter,2.0,improves_problem|replaces_sold,,€150k,11669,False,,1,0.0,0.0,,,,
Bundesliga,Holstein Kiel,24/25,summer,Tymoteusz Puchacz,LB,starter,2.0,replaces_sold|significant_outlay,€2.0m,€2.0m,1.FC Union Berlin,False,,1,0.346,0.932,,-0.336,0.0,-0.25
Bundesliga,Holstein Kiel,24/25,summer,Magnus Knudsen,MID,starter,2.0,replaces_sold|significant_outlay,€1.0m,€2.0m,1083,False,,1,4.579,4.373,,-0.544,0.5,0.25
Bundesliga,Holstein Kiel,24/25,summer,Max Geschwill,CB,starter,2.0,replaces_sold,€200k,€500k,254,False,,1,4.671,3.033,,-0.361,0.5,1.5
Bundesliga,Holstein Kiel,24/25,summer,Phil Harres,CF,starter,2.0,replaces_sold,€200k,€500k,459,False,,1,5.728,3.647,,-0.294,0.5,1.875
Bundesliga,Holstein Kiel,24/25,summer,Andu Kelati,W,starter,2.0,replaces_sold,€0,€300k,983,False,,1,2.426,0.675,,-0.249,0.5,1.5
Bundesliga,Holstein Kiel,24/25,winter,John Tolkin,LB,starter,2.0,replaces_sold|significant_outlay,€2.5m,€4.0m,623,False,,1,1.743,1.744,,-0.126,0.5,-0.375
Bundesliga,Holstein Kiel,24/25,winter,David Zec,CB,starter,2.0,replaces_sold|significant_outlay,€1.5m,€700k,710,False,,1,4.345,3.647,,-0.301,-0.5,1.5
Bundesliga,Holstein Kiel,24/25,winter,Ivan Nekic,CB,starter,2.0,replaces_sold,,€450k,599,False,,1,0.0,0.179,,-1.579,,0.819
Bundesliga,Bayern Munich,19/20,summer,Lucas Hernández,LB,starter,2.0,addresses_problem|improves_problem|significant_outlay,€80.0m,€70.0m,Atlético de Madrid,True,€45.0m,4,1.949,2.749,-0.583,0.002,-0.119,-0.1
Bundesliga,Bayern Munich,19/20,summer,Benjamin Pavard,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€35.0m,€30.0m,VfB Stuttgart,True,€32.4m,4,9.046,6.0,1.851,1.0,-0.297,0.492
Bundesliga,Bayern Munich,19/20,summer,Philippe Coutinho,MID,rotation,1.0,replaces_sold|rotation_option,€8.5m,€90.0m,FC Barcelona,False,,1,9.433,6.5,,1.5,0.5,0.933
Bundesliga,Bayern Munich,19/20,summer,Michaël Cuisance,MID,rotation,1.0,replaces_sold|rotation_option,€8.0m,€5.0m,Borussia Mönchengladbach,True,€2.3m,3,1.877,0.554,0.575,0.782,-0.5,0.467
Bundesliga,Bayern Munich,19/20,summer,Ivan Perišić,W,starter,2.0,addresses_problem|replaces_sold,€5.0m,€30.0m,Inter Milan,False,,1,2.974,2.839,,0.051,0.5,-0.417
Bundesliga,Bayern Munich,19/20,summer,Fiete Arp,MID,rotation,1.0,replaces_sold|rotation_option,€3.0m,€4.0m,Hamburger SV,True,,1,1.077,0.0,,,0.595,0.482
Bundesliga,Bayern Munich,19/20,summer,Adrian Fein,MID,rotation,1.0,replaces_sold|rotation_option,,€750k,28,True,€0,1,0.139,0.0,0.0,,-0.556,0.694
Bundesliga,Bayern Munich,19/20,summer,Lukas Mai,CB,rotation,1.0,replaces_sold|rotation_option,,€600k,28,True,€400k,1,1.481,0.0,1.481,,-0.556,0.556
Bundesliga,Bayern Munich,20/21,summer,Leroy Sané,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€49.0m,€80.0m,Manchester City,True,€0,5,2.994,4.185,-1.333,0.237,0.0,-0.094
Bundesliga,Bayern Munich,20/21,summer,Marc Roca,MID,starter,2.0,addresses_problem|replaces_sold,€9.0m,€16.0m,RCD Espanyol Barcelona,True,€12.0m,2,1.142,0.602,0.444,-0.248,0.5,-0.156
Bundesliga,Bayern Munich,20/21,summer,Bouna Sarr,RB,starter,2.0,addresses_problem|replaces_sold,€8.0m,€9.0m,Olympique Marseille,True,,4,0.175,0.419,,-0.175,0.231,-0.301
Bundesliga,Bayern Munich,20/21,summer,Tanguy Nianzou,CB,rotation,1.0,replaces_sold|rotation_option,€0,€11.0m,Paris Saint-Germain,True,€16.0m,2,5.363,1.686,2.0,0.722,0.5,0.455
Bundesliga,Bayern Munich,20/21,summer,Alexander Nübel,GK,rotation,1.0,replaces_sold|rotation_option,€0,€9.5m,FC Schalke 04,False,,1,2.747,0.478,,0.822,0.5,0.947
Bundesliga,Bayern Munich,20/21,summer,Eric-Maxim Choupo-Moting,CF,rotation,1.0,replaces_sold|rotation_option,€0,€4.0m,Paris Saint-Germain,True,,4,6.824,4.593,,1.098,0.625,0.508
Bundesliga,Bayern Munich,20/21,summer,Joshua Zirkzee,CF,rotation,1.0,replaces_sold|rotation_option,,€6.3m,28,True,€27.5m,1,4.179,0.446,2.0,0.733,0.5,0.5
Bundesliga,Bayern Munich,20/21,summer,Chris Richards,CB,rotation,1.0,replaces_sold|rotation_option,,€1.8m,28,True,€12.0m,2,4.673,0.221,2.5,0.952,0.5,0.5
Bundesliga,Bayern Munich,21/22,summer,Dayot Upamecano,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€42.5m,€60.0m,RB Leipzig,False,,5,9.749,6.5,,1.487,0.486,1.275
Bundesliga,Bayern Munich,21/22,summer,Marcel Sabitzer,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€15.0m,€42.0m,RB Leipzig,True,€19.0m,2,1.992,1.658,0.356,-0.035,0.208,-0.194
Bundesliga,Bayern Munich,21/22,summer,Omar Richards,LB,starter,2.0,addresses_problem,€0,€7.0m,1032,True,€8.5m,1,1.487,0.948,0.286,-0.175,0.429,0.0
Bundesliga,Bayern Munich,21/22,summer,Sven Ulreich,GK,rotation,1.0,replaces_sold|rotation_option,€0,€900k,Hamburger SV,False,,5,4.931,2.103,,1.228,0.5,1.1
Bundesliga,Bayern Munich,21/22,summer,Malik Tillman,MID,starter,2.0,addresses_problem|replaces_sold,,€500k,28,True,€12.0m,1,3.047,0.222,3.0,-0.175,-0.5,0.5
Bundesliga,Bayern Munich,21/22,summer,Josip Stanisic,RB,starter,2.0,addresses_problem|improves_problem,,€400k,28,False,,4,4.964,2.451,,0.145,,2.368
Bundesliga,Bayern Munich,21/22,winter,Bright Arrey-Mbi,CB,rotation,1.0,replaces_sold|rotation_option,,€1.3m,28,True,€620k,1,1.199,0.0,1.06,,-0.417,0.556
Bundesliga,Bayern Munich,21/22,winter,Paul Wanner,MID,starter,2.0,addresses_problem|replaces_sold,,€750k,1462,True,€15.0m,2,2.93,0.063,3.0,-0.355,-0.278,0.5
Bundesliga,Bayern Munich,22/23,summer,Matthijs de Ligt,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€67.0m,€70.0m,Juventus FC,True,€45.0m,2,8.611,6.0,1.343,1.0,-0.214,0.482
Bundesliga,Bayern Munich,22/23,summer,Sadio Mané,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€32.0m,€70.0m,Liverpool FC,True,€30.0m,1,3.332,3.118,-0.083,0.095,0.417,-0.214
Bundesliga,Bayern Munich,22/23,summer,Mathys Tel,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€20.0m,€2.0m,Stade Rennais FC,True,€35.0m,3,6.037,2.734,2.0,0.803,-0.25,0.75
Bundesliga,Bayern Munich,22/23,summer,Ryan Gravenberch,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€18.5m,€35.0m,Ajax Amsterdam,True,€40.0m,1,2.967,1.22,1.55,-0.255,0.5,-0.048
Bundesliga,Bayern Munich,22/23,summer,Noussair Mazraoui,RB,starter,2.0,addresses_problem,€0,€20.0m,Ajax Amsterdam,True,€15.0m,2,2.446,2.474,-0.333,0.155,0.0,0.15
Bundesliga,Bayern Munich,22/23,summer,Gabriel Vidovic,W,starter,2.0,addresses_problem|replaces_sold,,€3.0m,28,True,€1.2m,2,0.0,0.044,-0.8,-0.101,-0.5,-0.028
Bundesliga,Bayern Munich,22/23,summer,Johannes Schenk,GK,rotation,1.0,replaces_sold|rotation_option,,€125k,28,True,€100k,1,1.778,0.0,1.778,,-0.556,0.556
Bundesliga,Bayern Munich,22/23,winter,Yann Sommer,GK,rotation,1.0,replaces_sold|rotation_option,€9.0m,€5.0m,Borussia Mönchengladbach,True,€6.9m,1,9.033,6.0,1.533,1.0,0.0,0.5
Bundesliga,Bayern Munich,22/23,winter,Daley Blind,CB,rotation,1.0,replaces_sold|rotation_option,€0,€6.0m,Ajax Amsterdam,True,€0,1,1.64,0.642,0.0,0.748,0.0,0.25
Bundesliga,Bayern Munich,23/24,summer,Harry Kane,CF,starter,2.0,addresses_problem|significant_outlay,€95.0m,€90.0m,Tottenham Hotspur,False,,3,6.933,5.924,,1.232,-0.093,-0.13
Bundesliga,Bayern Munich,23/24,summer,Min-jae Kim,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€50.0m,€60.0m,SSC Napoli,False,,3,9.003,7.647,,,0.327,1.029
Bundesliga,Bayern Munich,23/24,summer,Daniel Peretz,GK,starter,2.0,addresses_problem|replaces_sold,€5.0m,€4.0m,119,False,,2,0.0,0.338,,-1.03,-0.417,-0.25
Bundesliga,Bayern Munich,23/24,summer,Konrad Laimer,RB,starter,2.0,addresses_problem|replaces_sold,€0,€28.0m,RB Leipzig,False,,3,4.974,4.312,,0.126,0.5,0.036
Bundesliga,Bayern Munich,23/24,summer,Raphaël Guerreiro,LB,rotation,1.0,replaces_sold|rotation_option,€0,€20.0m,Borussia Dortmund,False,,3,8.275,5.679,,1.471,0.5,0.625
Bundesliga,Bayern Munich,23/24,summer,Frans Krätzig,LB,rotation,1.0,replaces_sold|rotation_option,,€150k,28,True,€3.5m,1,5.338,0.255,3.0,0.833,0.5,0.75
Bundesliga,Bayern Munich,23/24,winter,Sacha Boey,RB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€30.0m,€22.0m,141,False,,3,0.0,0.917,,-0.409,-0.5,-0.182
Bundesliga,Bayern Munich,23/24,winter,Bryan Zaragoza,W,starter,2.0,addresses_problem|replaces_sold,€4.0m,€12.0m,Granada CF,False,,1,0.665,0.404,,-0.238,0.5,0.0
Bundesliga,Bayern Munich,23/24,winter,Eric Dier,CB,rotation,1.0,replaces_sold|rotation_option,€3.5m,€12.0m,Tottenham Hotspur,True,€0,2,7.262,5.846,0.0,1.0,0.0,0.417
Bundesliga,Bayern Munich,23/24,winter,Aleksandar Pavlovic,MID,starter,2.0,addresses_problem|replaces_sold,,€200k,28,False,,3,6.094,3.435,,0.291,,2.368
Bundesliga,Bayern Munich,23/24,winter,Frans Krätzig,LB,rotation,1.0,replaces_sold|rotation_option,,€150k,28,True,€3.5m,1,5.338,0.255,3.0,0.833,0.5,0.75
Bundesliga,Bayern Munich,24/25,summer,Michael Olise,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€53.0m,€55.0m,Crystal Palace,False,,2,8.163,5.508,,1.436,0.061,1.159
Bundesliga,Bayern Munich,24/25,summer,João Palhinha,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€51.0m,€55.0m,Fulham FC,False,,1,0.898,1.595,,-0.364,0.121,-0.455
Bundesliga,Bayern Munich,24/25,summer,Hiroki Ito,CB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€23.5m,€30.0m,VfB Stuttgart,False,,2,1.47,1.381,,0.012,0.361,-0.283
